,Last_Name/Organization_Name/Title,First_Names/Author,Occupation_or_description,Race,Start_Date,End_Date,Boston_State_Date,Boston_End_Date,Type,Action,Start_Year_for_Location,End_Year_for_Location,Lat,Long,Original_Street_Address,Records_(semi-colon_separated),Digital_Assets_(semi-colon_separated),iiif_manifests_(semi-colon_separated),HAD_Links,Source_(semi-colon_separated),linked_data,Other_Repositories,Notes,Search_in_HOLLIS_Link,Presentation_Text,Layer,DISPLAY
0,1854 Massachusetts State Council of Colored Citizens held in Boston,,,,1854-01-02,1854-01-03,1854-01-02,1854-01-03,Event,occurred,,1854.0,42.3604427,-71.06814279999999,,,,,,CCP,,httpss://omeka.coloredconventions.org/items/show/263,,,1854 Massachusetts State Council of Colored Citizens held in Boston  occurred here in 1854. Source: CCP,"Boston, 1780-1880",
1,"1872 New England States Convention of Colored Citizens held in Boston, Massachusetts",,,,1872-00-00,1872-00-00,1872-00-00,1872-00-00,Event,occurred,,1872.0,,,,,,,,CCP,,,,,"1872 New England States Convention of Colored Citizens held in Boston, Massachusetts occurred here in 1872. Source: CCP","Boston, 1780-1880",
2,1883 Massachusetts State Convention of Colored Men held in Boston,,,,1883-00-00,1883-00-00,1883-00-00,1883-00-00,Event,occurred,,1883.0,,,,,,,,CCP,,,,,1883 Massachusetts State Convention of Colored Men held in Boston occurred here in 1883. Source: CCP,"Boston, 1780-1880",
3,1892 Massachusetts State Convention of Colored Men held in Boston,,,,1892-00-00,1892-00-00,1892-00-00,1892-00-00,Event,occurred,,1892.0,,,,,,,,CCP,,,,,1892 Massachusetts State Convention of Colored Men held in Boston occurred here in 1892. Source: CCP,"Boston, 1780-1880",
4,George Latimer Case,,,,1842-10-18,1842-11-21,1842-10-18,1842-11-21,Event,occurred,,1842.0,42.358947,-71.058838,,990041895600203941; 990062091490203941,,,,Wikipedia,Q5541555,httpss://ebooks.library.cornell.edu/cgi/t/text/pageviewer-idx?c=mayantislavery;idno=15853624;view=image;seq=1,,,George Latimer Case occurred here in 1842. Source: Wikipedia,"Boston, 1780-1880","<p>Records in HOLLIS include: <a href=""https://id.lib.harvard.edu/alma/990041895600203941/catalog"">[Report of] the Joint Special Committee</a><br><a href=""https://id.lib.harvard.edu/alma/990062091490203941/catalog"">Proceedings of the citizens of the borough of Norfolk, on the Boston outrage</a><br></p><br>"
5,James Scott trial for aiding the freeing of Shadrach Minkins,,,,1851-05-00,1851-05-00,1851-05-00,1851-05-00,Event,occured,,1851.0,,,,,,,,Grover and da Silva,,,,,James Scott trial for aiding the freeing of Shadrach Minkins occured here in 1851. Source: Grover and da Silva,"Boston, 1780-1880",
6,Parade of the 54th Massachusetts Volunteer Infantry,,,,1863-05-28,1863-05-28,1863-05-28,1863-05-28,Event,occurred,,1863.0,42.356678,-71.064829,,990113404490203941; 990086907430203941,httpss://iiif.lib.harvard.edu/manifests/view/ids:6474105,httpss://iiif.lib.harvard.edu/manifests/ids:6474105,httpss://hollisarchives.lib.harvard.edu/repositories/24/resources/1370,Mass Moments,Q1140668,,,,Parade of the 54th Massachusetts Volunteer Infantry occurred here in 1863. Source: Mass Moments,"Boston, 1780-1880","<p>Records in HOLLIS include: <a href=""https://id.lib.harvard.edu/alma/990113404490203941/catalog"">Harvardians in the Rebellion of 1861-1865</a><br><a href=""https://id.lib.harvard.edu/alma/990086907430203941/catalog"">Military Order of the Loyal Legion of the United States Commandery of the State of Massachusetts Civil War collection, 1724-1933 (inclusive), 1861-1912 (bulk)</a><br></p><br>"
7,Protests Over the Kidnapping and Re-enslavement of Anthony Burns,,,,1854-05-26,1854-06-02,1854-05-26,1854-06-02,Event,occurred,,1854.0,42.359146,-71.054804,,990023750720203941; 990021739140203941; 990092065250203941; 990006033570203941; 990105970020203941; 990006020060203941; 990029247200203941; 990023596330203941; 990125391510203941;,https://nrs.harvard.edu/urn-3:HUL.FIG:002375072; https://nrs.harvard.edu/urn-3:HUL.FIG:002173914; httpss://iiif.lib.harvard.edu/manifests/view/drs:428668396$32i; httpss://iiif.lib.harvard.edu/manifests/view/drs:43607319$322i; httpss://iiif.lib.harvard.edu/manifests/view/drs:43607319$346i,httpss://iiif.lib.harvard.edu/manifests/drs:428668396; httpss://iiif.lib.harvard.edu/manifests/drs:43607319; httpss://iiif.lib.harvard.edu/manifests/drs:43607319,httpss://hollisarchives.lib.harvard.edu/repositories/24/archival_objects/566430; httpss://hollisarchives.lib.harvard.edu/repositories/33/archival_objects/2421066; httpss://hollisarchives.lib.harvard.edu/repositories/24/archival_objects/647198; httpss://hollisarchives.lib.harvard.edu/repositories/24/archival_objects/647199; httpss://hollisarchives.lib.harvard.edu/repositories/24/archival_objects/494327,Mass Moments,Q2852821,,,,Protests Over the Kidnapping and Re-enslavement of Anthony Burns occurred here in 1854. Source: Mass Moments,"Boston, 1780-1880","<p>Records in HOLLIS include: <a href=""https://id.lib.harvard.edu/alma/990023750720203941/catalog"">Anthony Burns</a><br><a href=""https://id.lib.harvard.edu/alma/990021739140203941/catalog"">trial of Theodore Parker</a><br><a href=""https://id.lib.harvard.edu/alma/990092065250203941/catalog"">James Freeman Clarke additional correspondence, 1787-1886</a><br><a href=""https://id.lib.harvard.edu/alma/990006033570203941/catalog"">William Bond & Son records and Bond family papers, 1724-1931 (inclusive), 1769-1931 (bulk)</a><br><a href=""https://id.lib.harvard.edu/alma/990105970020203941/catalog"">Thomas Wentworth Higginson additional scrapbooks and other papers, 1838-1923</a><br><a href=""https://id.lib.harvard.edu/alma/990006020060203941/catalog"">Wendell Phillips papers, 1555-1882, (bulk) 1833-1881</a><br><a href=""https://id.lib.harvard.edu/alma/990029247200203941/catalog"">Boston slave riot and trial of Anthony Burns</a><br><a href=""https://id.lib.harvard.edu/alma/990023596330203941/catalog"">Burns' case tracts: pamphlets relating to the trial of Anthony Burns, 1854</a><br><a href=""https://id.lib.harvard.edu/alma/990125391510203941/catalog"">Extract from Theodore Parker's trial, 1854</a><br><a href=""https://id.lib.harvard.edu/alma/990023750720203941/catalog"">Anthony Burns</a><br><a href=""https://id.lib.harvard.edu/alma/990021739140203941/catalog"">trial of Theodore Parker</a><br><a href=""https://id.lib.harvard.edu/alma/990092065250203941/catalog"">James Freeman Clarke additional correspondence, 1787-1886</a><br><a href=""https://id.lib.harvard.edu/alma/990006033570203941/catalog"">William Bond & Son records and Bond family papers, 1724-1931 (inclusive), 1769-1931 (bulk)</a><br><a href=""https://id.lib.harvard.edu/alma/990105970020203941/catalog"">Thomas Wentworth Higginson additional scrapbooks and other papers, 1838-1923</a><br><a href=""https://id.lib.harvard.edu/alma/990006020060203941/catalog"">Wendell Phillips papers, 1555-1882, (bulk) 1833-1881</a><br><a href=""https://id.lib.harvard.edu/alma/990029247200203941/catalog"">Boston slave riot and trial of Anthony Burns</a><br><a href=""https://id.lib.harvard.edu/alma/990023596330203941/catalog"">Burns' case tracts: pamphlets relating to the trial of Anthony Burns, 1854</a><br><a href=""https://id.lib.harvard.edu/alma/990125391510203941/catalog"">Extract from Theodore Parker's trial, 1854</a><br></p><br>"
8,Rescue of Shadrach Minkins from Court House,,,,1851-02-15,1851-02-15,1851-02-15,1851-02-15,Event,occurred,,1851.0,42.358947,-71.058838,,,,,,Mass Moments,Q7460863,,,,Rescue of Shadrach Minkins from Court House occurred here in 1851. Source: Mass Moments,"Boston, 1780-1880",
9,Sarah Parker Remond's Ejection from the Howard Athenaeum,,,,1853-05-04,1853-05-04,1853-05-04,1853-05-04,Event,occurred,,1853.0,42.360384,-71.061157,,990006020060203941; 990066324950203941;,https://nrs.harvard.edu/urn-3:FHCL.HOUGH:5089911,httpss://iiif.lib.harvard.edu/manifests/drs:27801977,httpss://hollisarchives.lib.harvard.edu/repositories/24/archival_objects/495027,Mass Moments,Q4794162,,,,Sarah Parker Remond's Ejection from the Howard Athenaeum occurred here in 1853. Source: Mass Moments,"Boston, 1780-1880","<p>Records in HOLLIS include: <a href=""https://id.lib.harvard.edu/alma/990006020060203941/catalog"">Wendell Phillips papers, 1555-1882, (bulk) 1833-1881</a><br><a href=""https://id.lib.harvard.edu/alma/990066324950203941/catalog"">Negroes & Anglo-Africans as freedmen and soldiers</a><br><a href=""https://id.lib.harvard.edu/alma/990006020060203941/catalog"">Wendell Phillips papers, 1555-1882, (bulk) 1833-1881</a><br><a href=""https://id.lib.harvard.edu/alma/990066324950203941/catalog"">Negroes & Anglo-Africans as freedmen and soldiers</a><br></p><br>"
